Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
25000.000000 3360.000000 1000.000000 30.000000 7.174213 1.100551 0.081581 
25000.000000 3360.000000 1000.000000 150.000000 8.864088 0.290551 0.170973 
25000.000000 3360.000000 1000.000000 270.000000 9.850812 -0.998922 0.023342 
25000.250000 3360.000000 1000.000000 30.000000 7.148758 1.087736 0.094083 
25000.250000 3360.000000 1000.000000 150.000000 8.853564 0.277218 0.134914 
25000.250000 3360.000000 1000.000000 270.000000 9.853204 -0.991807 -0.015535 
25000.500000 3360.000000 1000.000000 30.000000 7.123200 1.072728 0.108642 
25000.500000 3360.000000 1000.000000 150.000000 8.845576 0.266223 0.090740 
25000.500000 3360.000000 1000.000000 270.000000 9.860292 -0.988338 -0.053022 
25000.750000 3360.000000 1000.000000 30.000000 7.097296 1.055704 0.125463 
25000.750000 3360.000000 1000.000000 150.000000 8.840499 0.257342 0.041557 
25000.750000 3360.000000 1000.000000 270.000000 9.872513 -0.989403 -0.084493 
25001.000000 3360.000000 1000.000000 30.000000 7.070775 1.036986 0.144647 
25001.000000 3360.000000 1000.000000 150.000000 8.838792 0.249602 -0.008760 
25001.000000 3360.000000 1000.000000 270.000000 9.889778 -0.995534 -0.106728 
25001.250000 3360.000000 1000.000000 30.000000 7.043388 1.016982 0.166182 
25001.250000 3360.000000 1000.000000 150.000000 8.841007 0.241297 -0.055963 
25001.250000 3360.000000 1000.000000 270.000000 9.911375 -1.006721 -0.119159 
25001.500000 3360.000000 1000.000000 30.000000 7.014897 0.996162 0.189947 
25001.500000 3360.000000 1000.000000 150.000000 8.847717 0.230251 -0.096022 
25001.500000 3360.000000 1000.000000 270.000000 9.935870 -1.022353 -0.123422 
25001.750000 3360.000000 1000.000000 30.000000 6.985159 0.974928 0.215749 
25001.750000 3360.000000 1000.000000 150.000000 8.859342 0.214146 -0.125724 
25001.750000 3360.000000 1000.000000 270.000000 9.961366 -1.041274 -0.122298 
25002.000000 3360.000000 1000.000000 30.000000 6.954182 0.953731 0.243327 
25002.000000 3360.000000 1000.000000 150.000000 8.876049 0.191155 -0.143360 
25002.000000 3360.000000 1000.000000 270.000000 9.985833 -1.061936 -0.118685 
25002.250000 3360.000000 1000.000000 30.000000 6.922112 0.933043 0.272331 
25002.250000 3360.000000 1000.000000 150.000000 8.897491 0.160499 -0.148850 
25002.250000 3360.000000 1000.000000 270.000000 10.007314 -1.082564 -0.114542 
25002.500000 3360.000000 1000.000000 30.000000 6.889246 0.913236 0.302310 
25002.500000 3360.000000 1000.000000 150.000000 8.922846 0.122648 -0.143729 
25002.500000 3360.000000 1000.000000 270.000000 10.024119 -1.101320 -0.110998 
25002.750000 3360.000000 1000.000000 30.000000 6.856015 0.894694 0.332723 
25002.750000 3360.000000 1000.000000 150.000000 8.950916 0.079292 -0.130644 
25002.750000 3360.000000 1000.000000 270.000000 10.034893 -1.116485 -0.108599 
25003.000000 3360.000000 1000.000000 30.000000 6.822908 0.877782 0.362914 
25003.000000 3360.000000 1000.000000 150.000000 8.980226 0.033041 -0.112880 
25003.000000 3360.000000 1000.000000 270.000000 10.038767 -1.126708 -0.107132 
25003.250000 3360.000000 1000.000000 30.000000 6.790485 0.862780 0.392105 
25003.250000 3360.000000 1000.000000 150.000000 9.009266 -0.013166 -0.093597 
25003.250000 3360.000000 1000.000000 270.000000 10.035297 -1.131244 -0.105624 
25003.500000 3360.000000 1000.000000 30.000000 6.759282 0.849871 0.419446 
25003.500000 3360.000000 1000.000000 150.000000 9.036698 -0.056608 -0.075488 
25003.500000 3360.000000 1000.000000 270.000000 10.024784 -1.130049 -0.102465 
25003.750000 3360.000000 1000.000000 30.000000 6.729799 0.839099 0.443987 
25003.750000 3360.000000 1000.000000 150.000000 9.061538 -0.095276 -0.060367 
25003.750000 3360.000000 1000.000000 270.000000 10.008429 -1.123716 -0.094758 
25004.000000 3360.000000 1000.000000 30.000000 6.702527 0.830469 0.464748 
25004.000000 3360.000000 1000.000000 150.000000 9.083190 -0.128132 -0.049199 
25004.000000 3360.000000 1000.000000 270.000000 9.988275 -1.113250 -0.079583 
25004.250000 3360.000000 1000.000000 30.000000 6.677865 0.824125 0.480812 
25004.250000 3360.000000 1000.000000 150.000000 9.101516 -0.154973 -0.042009 
25004.250000 3360.000000 1000.000000 270.000000 9.967371 -1.099787 -0.055147 
25004.500000 3360.000000 1000.000000 30.000000 6.656106 0.819794 0.491339 
25004.500000 3360.000000 1000.000000 150.000000 9.116618 -0.176337 -0.038134 
25004.500000 3360.000000 1000.000000 270.000000 9.949171 -1.084265 -0.021466 
25004.750000 3360.000000 1000.000000 30.000000 6.637552 0.817175 0.495680 
25004.750000 3360.000000 1000.000000 150.000000 9.128769 -0.193323 -0.036608 
25004.750000 3360.000000 1000.000000 270.000000 9.936887 -1.067274 0.018435 
25005.000000 3360.000000 1000.000000 30.000000 6.622377 0.816293 0.493449 
25005.000000 3360.000000 1000.000000 150.000000 9.138227 -0.207240 -0.036379 
25005.000000 3360.000000 1000.000000 270.000000 9.932916 -1.048904 0.059797 
25005.250000 3360.000000 1000.000000 30.000000 6.610681 0.816779 0.484450 
25005.250000 3360.000000 1000.000000 150.000000 9.145219 -0.219539 -0.036529 
25005.250000 3360.000000 1000.000000 270.000000 9.938047 -1.028858 0.097700 
